Name,Release_Date
Koi Unleashed,29 Apr 2020
Kofi Quest: Alpha MOD,28 Jan 2020
Knockout Party (2020),25 Feb 2020
Knock Harder: Useless,13 Jan 2020
Knock Harder,13 Jan 2020
KnightOut,27 Mar 2020
Kingdoms Reborn,3 Nov 2020
Kingdoms of Amalur: Re-Reckoning,8 Sep 2020
Kingdom Under Fire: The Crusaders,28 Feb 2020
Kingdom Two Crowns: Dead Lands,28 Apr 2020
Kingdom Rush Vengeance - Tower Defense,15 Oct 2020
RAD,20 Aug 2019
Raccoo Venture,11 Dec 2019
Rabbids Coding,9 Oct 2019
Quake II RTX,10 Jun 2019
Lords of the Fallen: Ancient Labyrinth,3 Mar 2015
Loading Human,2015
Like a Dragon 0,
Lightrise,6 Jan 2015
Lighthockey,30 Oct 2015
Liftoff,9 Nov 2015
Life is Strange: Episode 5 - Polarized,20 Oct 2015
Life is Strange: Episode 4 - Dark Room,28 Jul 2015
Life Is Strange: Episode 3 - Chaos Theory,19 May 2015
Life is Strange: Episode 2 - Out of Time,24 Mar 2015
Life Is Strange - Episode 1,30 Jan 2015
Seasons After Fall,2 Sep 2016
Scrap Mechanic,20 Jan 2016
Scrap Garden - The Day Before,6 Oct 2016
Savage Resurrection,21 May 2016
Samorost 3,24 Mar 2016
Salvaged,18 Nov 2016
Salt and Sanctuary,Unknown
Salt and Sacrifice,2021
Sakura Space,10 Oct 0000
Sakura Nova,20 Oct 2016
Rusty lake: Roots,20 Oct 2016
Rugby Union Team Manager 2017,25 Sep 2016
Kingdom Hearts III: Re Mind,30 Mar 2021
Kill It With Fire,13 Aug 2020
KARDS - The WWII Card Game,15 Apr 2020
Kandagawa Jet Girls,25 Aug 2020
Juicy Memory Card,1 Jul 2020
Journey to the Savage Planet,28 Jan 2020
Jinga Online,17 Feb 2020
Kumoon,5 Jan 2015
Krai Mira/Crimea,8 Oct 2015
Korwin The Game,1 Oct 2015
Rugby Challenge 3,22 Apr 2016
Romance of the Three Kingdoms XIII,5 Jul 2016
RollerCoaster Tycoon World,30 Mar 2016
Rogue Wizards,27 Sep 2016
Robinson: The Journey,8 Nov 2016
Rise of the Tomb Raider: 20 Year Celebration,11 Oct 2016
Rise of the Tomb Raider - Cold Darkness Awakened,29 Mar 2016
Rise of the Tomb Raider - Baba Yaga: Temple of the Witch,28 Jan 2016
Rise of the Tomb Raider,28 Jan 2016
RIGS,
Riders of Icarus,29 Jun 2016
Ride 2,7 Oct 2016
Jet Lancer,12 May 2020
Jaws Of Extinction,1 Jul 2020
ITTA,22 Apr 2020
Isles of Adalar,23 Oct 2020
Island Saga,19 May 2020
Iron Harvest,1 Sep 2020
Iron Danger,25 Mar 2020
Iron Armada,1 Oct 2020
Iris and the Giant,27 Feb 2020
Invasion Machine,26 Feb 2020
InvaderSwarm,16 Dec 2020
Kingdoms CCG,22 Jan 2015
King Voxel,2015
Kholat,10 Jun 2015
Kensaku Rakuen,14 Feb 2015
Kelp,17 Feb 2015
KeeperRL,31 Mar 2015
Keep Talking and Nobody Explodes,8 Oct 2015
Zero Escape: The Nonary Games,24 Mar 2017
Yooka-Laylee,11 Apr 2017
Yonder: The Cloud Catcher Chronicles,18 Jul 2017
Yomawari: Midnight Shadows,24 Oct 2017
Ylands,6 Dec 2017
Yet Another Zombie Defense HD,25 Aug 2017
Revelation Online,25 Oct 2016
Resident Evil Zero HD,19 Jan 2016
RENOIR,16 Nov 2016
RefRain -prism memories-,13 May 2016
Redout,2 Sep 2016
ReCore,13 Sep 2016
Raw Data,15 Jul 2016
Ratchet and Clank 2016,
Quern - Undying Thoughts,21 Nov 2016
Quantum Break,6 Apr 2016
Quadrilateral Cowboy,25 Jul 2016
P·O·L·L·E·N,20 Apr 2016
Project Highrise,8 Sep 2016
Inmost,21 Aug 2020
Infestation: Battle Royale,5 Mar 2020
Infernal Radiation,28 Dec 2020
Industrial Petting,17 Mar 2020
In Other Waters,3 Apr 2020
In A Search Of A New Home,25 May 2020
Imperiums: Greek Wars,30 Jul 2020
Immortals: Fenyx Rising,3 Dec 2020
Immortal Realms: Vampire Wars,28 Aug 2020
Immortal Legacy: The Jade Cipher,21 May 2020
Imagine Earth,5 Dec 2020
Ikenfell,8 Oct 2020
Karmaflow: The Rock Videogame,19 Jan 2015
Kalimba,1 Jan 2015
Just Survive,15 Jan 2015
Just Get Through,30 Jan 2015
Just Dance 2016,23 Oct 2015
Just Cause 3,1 Dec 2015
Yakuza Kiwami,19 Feb 2019
XCOM 2 - War of the Chosen,29 Aug 2017
X-Plane 11,30 Mar 2017
WWE 2K18,17 Oct 2017
WWE 2K17,7 Feb 2017
WRC 7: FIA World Rally Championship,15 Sep 2017
World Of Final Fantasy,21 Nov 2017
Wolfenstein II: The New Colossus,27 Oct 2017
Project Genom,12 Oct 2016
Pro Evolution Soccer 2017,15 Sep 2016
Pro Cycling Manager 2016,16 Jun 2016
Postal Redux,20 May 2016
Polaris Sector,22 Mar 2016
Pokkén Tournament,Unknown
Plants vs Zombies Garden Warfare 2,25 Feb 2016
Planet Coaster,17 Nov 2016
Planet Centauri,3 Jun 2016
If Found,19 May 2020
ICBM,17 Nov 2020
I Am Your President: Prologue,2 Dec 2020
I Am Dead,8 Oct 2020
Hypercharge: Unboxed,27 Apr 2020
HyperBrawl Tournament,20 Oct 2020
Hyper Scape,12 Jul 2020
Hydroneer,8 May 2020
Hunting Simulator 2,16 Jul 2020
Peak Angle: Drift Online,25 Nov 2016
Paws,24 Mar 2016
Path of War,12 Sep 2016
Path of Exile: Atlas of Worlds,2 Sep 2016
Party Hard - High Crimes,10 Nov 2016
Party Hard - Dark Castle,16 Sep 2016
Hunters Arena: Legends,15 Jul 2020
Humanity,8 Apr 2020
Human Simulator,13 Jan 2020
House on the Hill,29 Jul 2020
House Flipper VR,5 Oct 2020
Hot Shot Burn,17 Jan 2020
Hollow Head: Director's Cut,13 Jan 2020
Hockey Manager 2020,31 Jan 2020
Hiveswap: Act 2,25 Nov 2020
Himno - The Silent Melody,28 Feb 2020
WWE 2K19,9 Oct 2018
Ironcast,26 Mar 2015
iRacing,12 Jan 2015
Invertical Touch,22 Jan 2015
Insomnia,2015
Innergy,TBA
Infinity: The Quest for Earth,TBA
Infinite Space III: Sea of Stars,29 Oct 2015
Infinite Crisis,26 Mar 2015
Infinite,20 Feb 2015
Infinifactory,19 Jan 2015
Idol Hands,18 Feb 2015
I Shall Remain,12 Jan 2015
HyperRogue,16 Jan 2015
Warhammer: End Times - Vermintide Lorebook,7 Apr 2017
Warhammer: End Times - Vermintide Death on the Reik,13 Dec 2017
Warhammer 40000: Space Wolf,16 Feb 2017
"Warhammer 40,000: Sanctus Reach",19 Jan 2017
Warface 2017: Türkiye,22 Oct 2017
VTOL VR,3 Aug 2017
VRChat,1 Feb 2017
Vikings - Wolves of Midgard,25 Mar 2017
Valkyria: Revolution,
Urban Empire,20 Jan 2017
Uncharted: The Lost Legacy,
Ultimate General: Civil War,14 Jul 2017
Ultimate Epic Battle Simulator,12 Apr 2017
Particle Fleet Emergence,29 Sep 2016
Parkitect,5 May 2016
Paragon,18 Mar 2016
Paladins: Champions of the Realm,16 Sep 2016
Oxenfree,15 Jan 2016
Overwatch,24 May 2016
Overkill VR,16 Nov 2016
Overcooked,3 Aug 2016
Outbreak Pandemic Evolution,9 Sep 2016
Out of the Park Baseball 17,22 Mar 2016
Otems Defiance,25 Apr 2016
Osiris: New Dawn,28 Sep 2016
Onward,30 Aug 2016
Onechanbara Z2: Chaos,2 Jun 2016
One Piece: Burning Blood,1 Sep 2016
Heroes Showdown,14 May 2020
Hero Must Die. Again,26 Feb 2020
Help Will Come Tomorrow,21 Apr 2020
Hellpoint,30 Jul 2020
Hello Guest,23 Jul 2020
Hellbound,4 Aug 2020
Helheim Hassle,18 Aug 2020
Heat,26 Jun 2020
Hearts of Iron IV: La Resistance,25 Feb 2020
Headshot VR,13 Jul 2020
Haven,3 Dec 2020
Hardspace: Shipbreaker,16 Jun 2020
Need For Speed Heat,8 Nov 2019
Wreckfest,14 Jun 2018
World War 3,19 Oct 2018
World of Warcraft: Battle For Azeroth,14 Aug 2018
Wolfenstein II: The Freedom Chronicles - Episode 3,12 Mar 2018
Wolfenstein II: The Freedom Chronicles - Episode 2,30 Jan 2018
Wizard of Legend,15 May 2018
Wild West Online,10 May 2018
Where the Water Tastes Like Wine,28 Feb 2018
We Were Here Too,2 Feb 2018
We Happy Few,10 Aug 2018
Warhammer: Vermintide 2,8 Mar 2018
Warhammer 40000: Mechanicus,15 Nov 2018
Warhammer 40000: Inquisitor Martyr,5 Jun 2018
Hyperdimension Neptunia Rebirth2,29 May 2015
Hyperdimension Neptunia ReBirth1,28 Jan 2015
Hyperdimension Neptunia Re;Birth3 V Generation,30 Oct 2015
Hyper Void,10 Feb 2015
HUSH,30 Aug 2015
Hurtworld,4 Dec 2015
HuniePop,19 Jan 2015
Human Resource Machine,15 Oct 2015
Human Extinction Simulator,21 Jan 2015
Human Element,Nov 2015
How To Survive 2,29 Oct 2015
House Living Simulator 2015,14 Jan 2015
Hotline Miami 2,10 Mar 2015
Hotel Endless,7 Mar 2015
Hotel Blind,5 Apr 2015
Tyranny: Bastards Wound,10 Nov 2016
Tyler: Model 005,27 Jan 2017
Two Worlds 2: Call of the Tenebrae,15 Jun 2017
Troll and I,21 Mar 2017
Train Sim World: CSX Heavy Haul,16 Mar 2017
Train Sim World 2020,26 Jun 2017
Toukiden 2,24 Mar 2017
Total War: Warhammer 2 - Mortal Empires,26 Oct 2017
Oil Enterprise,20 Apr 2016
Oh...Sir!! The Insult Simulator,25 Oct 2016
Of Kings And Men,25 Aug 2016
Oculus Rift,28 Mar 2016
Obduction,24 Aug 2016
Notruf 112 – Die Feuerwehr Simulation,10 Nov 2016
No Mans Sky,12 Aug 2016
NHL17,15 Sep 2016
Negligee,19 Oct 2016
Need For Speed,17 Mar 2016
Necropolis,March 2016
NBA 2K17,20 Sep 2016
Hand Simulator: Horror,20 Dec 2020
Hammerting,27 Oct 2020
Halo: Combat Evolved Anniversary,3 Mar 2020
Halo 3: ODST,22 Sep 2020
Halo 2: Anniversary,12 May 2020
Half-Life: Alyx,23 Mar 2020
Half-Life: Absolute Zero,12 Oct 2020
HAAK,16 Sep 2020
Guardians of the Ashes,31 May 2020
Grounded,28 Jul 2020
Griefhelm,20 Aug 2020
Underworld Ascendant,15 Nov 2018
Homeworld Remastered Collection,25 Feb 2015
Homesick,28 May 2015
Hollowpoint,2015
Hivemind,Unknown
HIS,3 Mar 2015
Heterodoxxed,18 Jan 2015
Heroes of the Storm,2 Jun 2015
Heroes of Normandie,1 Oct 2015
Heroes of Might and Magic III : HD,29 Jan 2015
Hero of the Kingdom II,27 Feb 2015
Her Story,24 Jun 2015
Helldivers,7 Dec 2015
Hektor,13 Mar 2015
Hedone,NA
Total War: Warhammer 2 - Blood for the Blood God II,26 Oct 2017
Total War: Warhammer 2,28 Sep 2017
Total War: Warhammer - Old World Edition,28 Feb 2017
Total War: Warhammer - Norsca,28 Sep 2017
Total War: Warhammer - Bretonnia,28 Feb 2017
Total War: Rome II - Empire Divided,30 Nov 2017
Torment: Tides of Numenera,28 Feb 2017
Tom Clancys Ghost Recon Wildlands - Narco Road,18 Apr 2017
Tom Clancys Ghost Recon Wildlands,7 Mar 2017
Tokyo dark,7 Sep 2017
Tokyo 42,31 May 2017
TINY METAL,21 Dec 2017
Naval Action,21 Jan 2016
Naruto Shippudden: Ultimate Ninja Storm 4,5 Feb 2016
N plus plus,25 Aug 2016
My Tower My Home,16 Mar 2016
My Summer Car,24 Oct 2016
MXGP2 - The Official Motocross Game,7 Apr 2016
Mr.President!,10 Oct 2016
Motorsport Manager,30 Sep 2016
Moto Racer 4,13 Oct 2016
Mother Russia Bleeds,5 Sep 2016
Mortal Kombat XL,
Moonlight,5 Feb 2016
MLB The Show 16,29 Mar 2016
Mirrors Edge 2: Catalyst,9 Jun 2016
Mighty No. 9,24 Jun 2016
Gridiron,23 Jul 2020
Grand Guilds,26 Mar 2020
Granblue Fantasy Versus,Unknown
Goosebumps Dead of Night,19 Jun 2020
Good Company,31 Mar 2020
Golden Axed: A Cancelled Prototype,18 Oct 2020
Gold Hunter,19 Jun 2020
Gods & Monsters,3 Dec 2020
Godking: Master of Rituals,8 Apr 2020
Godfall,12 Nov 2020
God's Challenge,14 Jan 2020
Gleamlight,20 Aug 2020
Girls' Civilization,6 Jan 2020
Two Point Hospital,30 Aug 2018
TT Isle of Man - Ride on the Edge,6 Mar 2018
Treasure Adventure World,7 Feb 2018
Travis Strikes Again: No More Heroes,2018
Transference,18 Sep 2018
Train Valley 2,29 Mar 2018
Trailblazers,8 May 2018
Tower of Time,12 Apr 2018
Total War: Warhammer 2 - The Queen and the Crone,31 May 2018
Total War: Warhammer 2 - Steps of Isha,14 Feb 2018
Total War: Warhammer 2 - Rise of the Tomb Kings,23 Jan 2018
Heavy Gear Assault,2015
Hearthstone: The Grand Tournament,August 2015
Hearthstone: Blackrock Mountain,2015
Heart Forth Alicia,Spring 2015
Hatred,1 Jun 2015
Hatoful Boyfriend: Holiday Star,2015
HassleHeart,19 Feb 2015
Harold,12 Feb 2015
Hard West,18 Nov 2015
Hand of Fate,17 Feb 2015
Halo Online,2015
Halo 5,
Hacknet,12 Aug 2015
Hackers Paradise,22 Feb 2015
Gurumin: A Monstrous Adventure,30 Mar 2015
This War of Mine: Stories - Father's Promise (ep. 1),14 Nov 2017
Thimbleweed Park,30 Mar 2017
theHunter: Call of the Wild,16 Feb 2017
The Wild Eight,8 Feb 2017
The Walking Dead: A New Frontier - Episode 3,28 Mar 2017
The Talos Principle VR,17 Oct 2017
The Surge - A Walk in the Park,5 Dec 2017
The Surge,16 May 2017
Metal Assault: Gigaslave,4 Nov 2016
Meridian: Squad 22,11 Aug 2016
Megadimension Neptunia VII,Unknown
Meadow,26 Oct 2016
Master of Orion,25 Aug 2016
Masquerade: The Baubles of Doom,20 Apr 2016
Giraffe and Annika,18 Feb 2020
Ghostship Chronicles,17 Nov 2020
Ghostrunner,27 Oct 2020
Ghost Stories 2,11 Nov 2020
Ghost of Tsushima,17 Jul 2020
GetMeBro!,29 Apr 2020
Genshin Impact,28 Sep 2020
Genesis Alpha One Deluxe Edition,25 Feb 2020
Metro Exodus Enhanced Edition,6 May 2021
Metal Wolf Chaos XD,6 Aug 2019
Men of War: Assault Squad 2 - Cold War,12 Sep 2019
Meeple Station,Early 2019
MediEvil 2019,
MechWarrior 5: Mercenaries,10 Dec 2019
Total War: Warhammer 2 - Lokhir Fellheart,8 Nov 2018
Total War: Warhammer 2 - Curse of the Vampire Coast,8 Nov 2018
Total War: Warhammer 2 - Alith Anar,31 May 2018
Total War Saga: Thrones of Britannia,3 May 2018
Tomb Raider Definitive Survival Trilogy,18 Mar 2021
Time Carnage,10 Apr 2018
Thronebreaker: The Witcher Tales,23 Oct 2018
This War of Mine: Stories - The Last Broadcast (ep. 2),14 Nov 2018
This is the Police 2,2 Aug 2018
Thief Simulator,9 Nov 2018
The Walking Dead: The Telltale Series - The Final Season,14 Aug 2018
Gunslugs 2,14 Jan 2015
Guitar Hero Live,Autumn 2015
Guilty Gear Xrd -Sign-,9 Dec 2015
Guild Wars 2: Heart of Thorns,23 Oct 2015
Guardians of Victoria,1 Oct 2015
Guardians of Orion,1 Dec 2015
Grow Home,4 Feb 2015
Ground Branch,2015
Grimoire: Manastorm,4 Feb 2015
Grim Fandango Remastered,27 Jan 2015
Grey Goo,23 Jan 2015
The Signal From Tolva,10 Apr 2017
The Sexy Brutale,11 Apr 2017
The Pillars of the Earth,15 Aug 2017
The Painscreek Killings,27 Jul 2017
The Long Dark,1 Aug 2017
The Legend of Zelda: Breath of the Wild 2,2020
The Legend of Zelda: Breath of the Wild,3 Mar 2017
The Legend of Heroes: Trails of Cold Steel,2 Aug 2017
The King of Fighters XIV,15 Jun 2017
The Jackbox Party Pack 4,19 Oct 2017
The Guild 3,26 Sep 2017
Manual Samuel,14 Oct 2016
Mantis Burn Racing,12 Oct 2016
Man O War: Corsair,15 Apr 2016
Maize,1 Dec 0016
Mafia III,7 Oct 2016
Mad Games Tycoon,13 Sep 2016
Lumo,24 May 2016
Luckcatchers,15 Nov 2016
Lost Sea,5 Jul 2016
London Heist,Early 2016
Livelock,30 Aug 2016
Gedonia,1 Jun 2020
Gears Tactics,28 Apr 2020
Gallic Wars: Battle Simulator,30 Oct 2020
Galaxy in Turmoil,23 May 2020
Galactic Ruler,11 Nov 2020
Fuser,10 Nov 2020
Furious Drivers,28 Jan 2020
Frostpunk: The Last Autumn,21 Jan 2020
Frostpunk: On The Edge,20 Aug 2020
Frostpoint VR: Proving Grounds,1 Dec 2020
The Escapists 2 - Wicked Ward,24 Oct 2017
The Escapists 2 - Glorious Regime Prison,22 Aug 2017
The Escapists 2,22 Aug 2017
The End is Nigh,12 Jul 2017
The Elder Scrolls Online: Morrowind,6 Jun 2017
The Elder Scrolls Legends,9 Mar 2017
The Division - Last Stand,28 Feb 2017
The Culling,5 Oct 2017
Life of Rome,1 Feb 2016
Life in Bunker,25 Feb 2016
Lichtspeer,27 Sep 2016
Lethal VR,8 Nov 2016
Lego Star Wars: The Force Awakens,28 Jun 2016
Lego Marvel Avengers,26 Jan 2016
Legend of Miro,22 Aug 2016
Layers of Fear: Inheritance,2 Aug 2016
Layers of Fear,27 Aug 2015
Last Days of Old Earth,3 Mar 2016
Frog Fractions: Game of the Decade Edition,3 Aug 2020
Free Company VR,8 Jan 2020
Fragile,11 Nov 2020
Formula Car Racing Simulator,22 Jan 2020
For the People,30 Jul 2020
Football School,9 Jan 2020
Football Manager 2021,24 Nov 2020
Food Factory VR,6 Jan 2020
Follia - Dear father,30 Apr 2020
Flying Circus,30 Apr 2020
Florence,13 Feb 2020
Fishing: North Atlantic,16 Oct 2020
Fireworks Mania - An Explosive Simulator,17 Dec 2020
Firefighting Simulator - The Squad,17 Nov 2020
The Golf Club 2019 featuring PGA Tour,28 Aug 2018
The Gardens Between,20 Sep 2018
The Forest,30 Apr 2018
The Fall Part 2: Unbound,13 Feb 2018
The Escapists 2 - Dungeons and Duct Tape,9 May 2018
The Escapists 2 - Big Top Breakout,21 Feb 2018
The Elder Scrolls V: Skyrim VR,3 Apr 2018
The Elder Scrolls Online: Summerset,5 Jun 2018
The Culling 2,10 Jul 2018
Grand Class Melee 2,2 Feb 2015
Grand Ages: Medieval,25 Sep 2015
Goscurry,16 Jan 2015
Googles,1 Mar 2015
Godzilla,
Goat Simulator: GoatZ,7 May 2015
Gnomoria,2015
Ghost in the Shell: Stand Alone Complex Online,2015
Ghetto Golf,Unknown
Genio,1 Mar 2015
Gathering Sky,30 Apr 2015
Game-Debates Birthday,7th Nov
The Crows Eye,20 Mar 2017
Tekken 7,2 Jun 2017
Tannenberg,16 Nov 2017
Tales of Berseria,26 Jan 2017
Take On Mars,9 Feb 2017
Tacoma,2 Aug 2017
Syrian Warfare,21 Feb 2017
Syberia 3,20 Apr 2017
SUPERHOT VR,5 Dec 2016
Superdimension Neptune VS Sega Hard Girls,12 Jun 2017
Super Robot Wars V,3 Oct 2019
Super Mario Odyssey,
Super Lucky's Tale,7 Nov 2017
Lara Croft Go,4 Dec 2016
Kona,10 Mar 2016
Koihime Enbu,20 May 2016
Knight Online,26 Jan 2016
Kingspray Graffiti VR,7 Dec 2016
Kings and Heroes,26 Apr 2016
Kingdom: New Lands,9 Aug 2016
Kingdom,21 Oct 2016
Killing Room,21 Oct 2016
Killing Floor 2,18 Nov 2016
Kill to Collect,6 Apr 2016
Kill The Plumber,1 Jan 2016
Final Upgrade,15 Sep 2020
Final Fantasy VII Remake,16 Dec 2021
Filmmaker Tycoon,6 Nov 2020
Filament,23 Apr 2020
Fight Crab,30 Jul 2020
Fifos Night,29 Oct 2020
FIFA 21,8 Oct 2020
Fault,17 Jul 2020
Fates of Ort,31 Mar 2020
Fast & Furious Crossroads,7 Aug 2020
Farm Manager 2020,17 Sep 2020
Fantasy of Expedition,14 Sep 2020
Family Man,22 May 2020
Fallen Angel,22 Oct 2020
The Council - Episode 5: Checkmate,4 Dec 2018
The Council - Episode 4: Burning Bridges,25 Sep 2018
The Council - Episode 3: Ripples,24 Jul 2018
The Council - Episode 2: Hide and Seek,15 May 2018
The Council,13 Mar 2018
The Colonists,24 Oct 2018
The Bards Tale 4: Barrows Deep,18 Sep 2018
The Banner Saga 3,24 Jul 2018
The Awesome Adventures of Captain Spirit,26 Jun 2018
Game of Thrones: Episode 6 - The Ice Dragon,17 Nov 2015
Game of Thrones: Episode 5 - A Nest of Vipers,22 Jul 2015
Game of Thrones: Episode 4 - Sons of Winter,30 May 2015
Game of Thrones: Episode 3 - The Sword in the Darkness,24 Mar 2015
Game of Thrones: Episode 2 - The Lost Lords,3 Feb 2015
Game of Thrones VR,November 2015
GALAK-Z,29 Oct 2015
Galactic Inheritors,10 Feb 2015
Galactic Civilizations III,14 May 2015
Gabe Newell Simulator,13 Oct 2015
G.E.U.,28 Feb 2015
Sundered,28 Jul 2017
Sudden Strike 4,11 Aug 2017
Styx: Shards of Darkness,14 Mar 2017
STRAFE,9 May 2017
Stories Untold,27 Feb 2017
Stellaris: Utopia,6 Apr 2017
Steep: Winterfest Pack,3 May 2017
Steep: Road to the Olympics,5 Dec 2017
Steep: Extreme Pack,27 Jun 2017
Kick Ass Commandos,28 Nov 2016
Kathy Rain,5 May 2016
Karma. Incarnation 1,30 Jun 2016
Just Dance 2022,4 Nov 2021
Just Dance 2017,25 Oct 2016
Just Cause 3 - Sky Fortress,8 Mar 2016
Just Cause 3 - Land Mech Assault,10 Jun 2016
Just Cause 3 - Bavarium Sea Heist,11 Aug 2016
Jotun: Valhalla Edition,29 Sep 2016
Job Simulator: The 2050 Archives,5 Apr 2016
JDM Tuner Racing,3 Jan 2016
Jalopy,22 Apr 2016
Jack Nicklaus Perfect Golf,3 May 2016
Fall Guys: Ultimate Knockout,4 Aug 2020
Fairy Tail,30 Jul 2020
Fae Tactics,31 Jul 2020
F1 2020,10 Jul 2020
ExoCorps,9 Oct 2020
Exit Limbo: Opening,5 Nov 2020
Evil Democracy: 1932,3 Oct 2020
Evergate,1 Sep 2020
Super Bomberman-R,13 Jun 2018
Super Bomberman R Online,2 Sep 2020
Furtherance,20 Feb 2015
Funk of Titans,
Frozen State,2015
Frozen Patchworks,19 Feb 2015
Frozen Cortex,19 Feb 2015
Fringes of the Empire,16 Nov 2015
Frenchy Bird,
FreeStyle Scooter Game,1 Mar 2015
FreeStyle 2: Street Basketball,1 Apr 2015
FranknJohn,4 Mar 2015
Franchise Hockey Manager 2,28 Sep 2015
Fran Bow,2015
Fractured Soul,5 Feb 2015
Steel Division: Normandy 44,23 May 2017
SteamWorld Dig 2,22 Sep 2017
StarCraft Remastered,14 Aug 2017
Starblood Arena,
Star Wars: Battlefront 2,13 Nov 2017
Star Trek: Bridge Crew,30 May 2017
its always monday,23 Nov 2016
Iron Fish,25 Oct 2016
iOMoon,28 Apr 2016
INSIDE,7 Jul 2016
Insection,TBD
Initia: Elemental Arena,29 Apr 2016
Infra,16 Jan 2016
Europa Universalis IV: Emperor,9 Jun 2020
Ether Loop,21 Jan 2020
Eternal Radiance,14 Apr 2020
Eternal Hope,20 Aug 2020
Escape Room VR: Inner Voices,9 Jul 2020
Epicinium,12 Oct 2020
Enlisted,10 Nov 2020
Enemy On Board,8 May 2020
Endzone - A World Apart,2 Apr 2020
Endless Zone,16 Oct 2020
Endless Memories,19 Oct 2020
Street Fighter V: Arcade Edition,16 Jan 2018
Street Fighter 30th Anniversary Collection,29 May 2018
Strange Brigade,28 Aug 2018
Stellaris: MegaCorp,6 Dec 2018
Stellaris: Apocalypse,22 Feb 2018
Steep: X-Games,6 Nov 2018
Steep: 90's,4 Dec 2018
Forza Motorsport 6,
Forward To The Sky,29 Jan 2015
FortressCraft Evolved,9 Nov 2015
Forsaken Fortress Strategy,18 Sep 2015
Football Manager 2016,13 Nov 2015
Fokus,12 Feb 2015
Flightless,2015
FLAMBERGE,23 Jan 2015
FLAK,3 Mar 2015
Star Ocean 4: The Last Hope Remaster,28 Nov 2017
Spintires: MudRunner,31 Oct 2017
Spellforce 3,7 Dec 2017
South Park: The Fractured But Whole - Towelie,30 Oct 2017
South Park: The Fractured But Whole - Relics of Zaron,17 Oct 2017
South Park: The Fractured But Whole - Danger Deck,19 Dec 2017
Infinite Air with Mark McMorris,25 Oct 2016
Infestation: The New Z,22 Nov 2016
Industry Manager Future Simulator,6 Oct 2016
I Am Setsuna,19 Jul 2016
Hyperdimension U Action Unleashed,21 Mar 2016
Hyperdevotion Noire: Goddess Black Heart,26 Apr 2016
Hyper Light Drifter,31 Mar 2016
Hybrid Wars,29 Sep 2016
Emu War!,20 Mar 2020
Empires in Ruins,4 Feb 2020
Empire of Sin,1 Dec 2020
Embr,21 May 2020
Electro Ride: The Neon Racing,10 Jul 2020
Elden: Path of the Forgotten,10 Jul 2020
El Hijo - A Wild West Tale,3 Dec 2020
eFootball PES 2021,15 Sep 2020
Effie,28 Jan 2020
Edge Of Dawn,10 Jul 2020
Invasion 2037,5 Nov 2019
Interstellar Space: Genesis,25 Jul 2019
Interstellar Prime,7 Dec 2019
Internet Cafe Simulator,25 Oct 2019
Steel Rats,7 Nov 2018
Steel Division: Normandy 44 - Back to Hell,13 Feb 2018
Staxel,23 Jan 2018
State of Mind,15 Aug 2018
State Of Decay 2,22 May 2018
Starlink: Battle for Atlas,30 Apr 2019
StarDrone VR,7 Feb 2020
Star Control: Origins,20 Sep 2018
Spyro Reignited Trilogy,3 Sep 2019
Spintires: MudRunner - The Valley,13 Feb 2018
Spintires: MudRunner - The Ridge,29 May 2018
Spintires: MudRunner - Old-timers,13 Feb 2018
Spintires: MudRunner - American Wilds,23 Oct 2018
FIVE: Guardians of David,24 Nov 2015
Five Nights At Freddys 4: The Final Chapter,23 Jul 2015
Five Nights at Freddys 3,2 Mar 2015
Fishing Planet,11 Aug 2015
First Law,2015
First Assault,14 Dec 2015
Fire,9 Apr 2015
Final Fantasy XIV: Heavensward,23 Jun 2015
Final Fantasy VI,16 Dec 2015
Final Fantasy V,24 Sep 2015
Final Fantasy Type-0 HD,18 Aug 2015
Final Fantasy Pixel Remaster,2021
Final Fantasy IV: The After Years,11 May 2015
Fill and Cross: Pirate Riddles 3,23 Feb 2015
South Park: The Fractured But Whole,17 Oct 2017
Sonic Mania,15 Aug 2017
Sonic Forces,7 Nov 2017
Soldiers of the Universe,14 Sep 2017
Sniper: Ghost Warrior 3,25 Apr 2017
Sniper Elite 4 - Target Führer,14 Feb 2017
Sniper Elite 4 - Deathstorm Part 3: Obliteration,18 Jul 2017
HunieCam Studio,4 Apr 2016
Hunger Dungeon,6 Oct 2016
Human Fall Flat,22 Jul 2016
Hull BreacH,17 May 2016
Hue,30 Aug 2016
HTC Vive,1 Apr 2016
How We Soar,
Dysmantle,6 Nov 2020
Dwarrows,28 Feb 2020
DwarfHeim,22 Oct 2020
Dunrog,1 Oct 2020
Dungeons of Edera,28 Aug 2020
Dungeon Defenders: Awakened,28 May 2020
Dual Gear,29 Jul 2020
Dual Gear,29 Jul 2020
Drying Paint Simulator VR,24 Jan 2020
Drug Dealer Simulator,16 Apr 2020
Drone Swarm,20 Oct 2020
Drive Buy: Delivery Battle!,12 Mar 2021
Fallout: Van Buren,2016
Fallout 4,10 Nov 2015
Sniper Elite 4 - Deathstorm Part 2: Infiltration,25 Apr 2017
Sniper Elite 4 - Deathstorm Part 1: Inception,21 Mar 2017
Sniper Elite 4,14 Feb 2017
Snake Pass,28 Mar 2017
Slime Rancher,1 Aug 2017
Slay the Spire,15 Nov 2017
Simulacra,26 Oct 2017
Sifu,8 Feb 2022
